On offshore,Province name,Municipality name,longitude,latitude,Type,Status,Result,Current owner,Operator,oil or gas?,Year,within_zone,within_1km,outside,only_1km
ON,Zuid-Holland,Rotterdam,4.543460981711713,51.89176586676635,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.543459299167594,51.891855739572925,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.543459299167594,51.891855739572925,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1978,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.543459299167594,51.891855739572925,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1982,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.5398114877774205,51.89192836296268,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.545932049426626,51.89402177401191,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.539796286406786,51.89196420392697,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.5472723894403115,51.88837747091471,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.5472723894403115,51.88837747091471,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1990,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.5472438494975975,51.88835029975663,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.5472438494975975,51.88835029975663,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1982,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.5472438494975975,51.88835029975663,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1982,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.561866124928594,51.88629667107366,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.561866124928594,51.88629667107366,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1977,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.542472032036027,51.8887295608037,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.542472032036027,51.8887295608037,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1982,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.561881306298337,51.886260820108866,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.561881306298337,51.886260820108866,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1979,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.542500401724106,51.88876572224251,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.542500401724106,51.88876572224251,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1981,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.551863160733385,51.88913829376064,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1960,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.551863160733385,51.88913829376064,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1979,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.551863160733385,51.88913829376064,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1987,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.557048638366155,51.88444700160912,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.557048638366155,51.88444700160912,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1977,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.561135957144705,51.88808927962635,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.561135957144705,51.88808927962635,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1980,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.546298596649118,51.89228958347819,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.546240665491553,51.892280182565145,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.546240665491553,51.892280182565145,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1978,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.56112093602899,51.88811614031037,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.563235512764432,51.88290855920051,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.563250533879859,51.882881698516556,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1961,True,True,False,False
